"timestamp","payload.humidity","payload.temperature","payload.pressure","payload.rainAnalog","payload.rainDigital"
"2022-04-06T00:08:28.424Z",82,21.799999,91699,1510,1
"2022-04-06T00:18:28.407Z",82,22.200001,91695,2377,1
"2022-04-06T00:28:28.391Z",82,22.200001,91703,1770,1
"2022-04-06T00:38:28.370Z",82,22.6,91705,1595,1
"2022-04-06T00:48:28.352Z",81,22.6,91695,1857,1
"2022-04-06T00:58:28.333Z",81,22.799999,91703,1850,1
"2022-04-06T01:08:28.316Z",81,23.4,91703,1809,1
"2022-04-06T01:18:28.296Z",81,23.799999,91724,1648,1
"2022-04-06T01:28:28.277Z",81,23.799999,91735,1776,1
"2022-04-06T01:38:28.256Z",79,24.1,91732,2295,1
"2022-04-06T01:48:28.238Z",78,24.5,91735,2306,1
"2022-04-06T01:58:28.220Z",76,24.5,91742,4095,1
"2022-04-06T02:08:28.202Z",75,25.299999,91738,4095,1
"2022-04-06T02:18:28.184Z",74,25.299999,91726,4095,1
"2022-04-06T02:28:28.167Z",73,25.299999,91713,4095,1
"2022-04-06T02:38:28.150Z",73,25.799999,91715,4095,1
"2022-04-06T02:48:28.135Z",71,26.200001,91705,4095,1
"2022-04-06T02:58:28.115Z",69,26.200001,91702,4095,1
"2022-04-06T03:08:30.748Z",67,27.1,91699,4095,1
"2022-04-06T03:18:32.167Z",67,26.700001,91686,4095,1
"2022-04-06T03:48:33.761Z",64,27.700001,91669,4095,1
"2022-04-06T03:58:34.759Z",63,27.6,91641,4095,1
"2022-04-06T04:08:34.742Z",64,27.6,91626,4095,1
"2022-04-06T04:18:36.898Z",63,27.6,91605,4095,1
"2022-04-06T04:28:36.880Z",61,28.5,91592,4095,1
"2022-04-06T04:38:42.631Z",60,28.5,91581,4095,1
"2022-04-06T04:48:42.613Z",60,28,91572,4095,1
"2022-04-06T05:08:42.577Z",60,28.9,91526,4095,1
"2022-04-06T05:18:42.768Z",62,28.5,91506,4095,1
"2022-04-06T05:41:30.788Z",71,27.6,91477,4095,1
"2022-04-06T06:01:30.759Z",70,28,91492,4095,1
"2022-04-06T06:44:16.267Z",76,25.799999,91439,1713,0
"2022-04-06T06:54:16.247Z",76,26.200001,91474,1650,0
"2022-04-06T07:06:59.528Z",73,25.299999,91476,1377,0
"2022-04-06T07:07:29.672Z",73,25.299999,91478,1577,0
"2022-04-06T07:08:17.280Z",73,25.299999,91482,1431,0
"2022-04-06T07:18:17.267Z",73,25.299999,91448,1424,0
"2022-04-06T07:28:17.251Z",73,25.299999,91471,1527,0
"2022-04-06T07:38:17.234Z",75,24.799999,91488,1522,0
"2022-04-06T07:48:17.217Z",77,24.799999,91487,1531,0
"2022-04-06T07:58:57.131Z",78,24.799999,91453,2812,0
"2022-04-06T08:08:57.103Z",79,24.799999,91453,2944,1
"2022-04-06T08:19:54.665Z",78,24.799999,91414,2576,0
"2022-04-06T08:30:26.906Z",79,24.799999,91407,2541,0
"2022-04-06T08:50:28.381Z",78,24.799999,91419,1460,0
"2022-04-06T09:00:45.726Z",78,24.799999,91454,2625,0
"2022-04-06T09:20:45.698Z",78,24.799999,91478,2852,1
"2022-04-06T09:30:45.684Z",78,24.799999,91465,3139,1
"2022-04-06T09:40:45.694Z",78,24.799999,91443,1923,0
"2022-04-06T09:50:45.698Z",78,24.799999,91432,3091,1
"2022-04-06T10:00:45.680Z",79,24.799999,91429,2390,0
"2022-04-06T10:20:46.495Z",78,24.799999,91473,2799,1
"2022-04-06T10:30:46.474Z",78,24.799999,91475,2445,0
"2022-04-06T10:40:46.460Z",78,24.799999,91477,2852,1
"2022-04-06T10:50:46.439Z",79,24.5,91474,3491,1
"2022-04-06T11:00:46.427Z",78,24.799999,91465,4095,1
