"timestamp","payload.humidity","payload.temperature","payload.pressure","payload.rainAnalog","payload.rainDigital"
"2022-04-07T00:00:45.013Z",73,22.200001,91606,4095,1
"2022-04-07T00:10:44.999Z",73,22.6,91622,4095,1
"2022-04-07T00:20:44.981Z",73,23,91625,4095,1
"2022-04-07T00:40:44.939Z",73,23.4,91627,4095,1
"2022-04-07T00:50:44.919Z",72,23.799999,91634,4095,1
"2022-04-07T01:00:44.899Z",71,23.799999,91645,4095,1
"2022-04-07T01:10:44.882Z",70,24.1,91644,4095,1
"2022-04-07T01:21:04.022Z",69,24.1,91643,4095,1
"2022-04-07T01:31:04.006Z",70,24.5,91645,4095,1
"2022-04-07T02:01:09.834Z",64,25.299999,91636,4095,1
"2022-04-07T02:21:11.210Z",64,26.700001,91643,4095,1
"2022-04-07T02:31:11.190Z",60,27.1,91645,4095,1
"2022-04-07T02:41:12.006Z",61,27.200001,91640,4095,1
"2022-04-07T03:01:18.769Z",53,28,91627,4095,1
"2022-04-07T03:11:21.035Z",54,27.6,91626,4095,1
"2022-04-07T03:21:31.719Z",55,27.1,91623,4095,1
"2022-04-07T03:51:31.689Z",53,28,91590,4095,1
"2022-04-07T04:11:31.954Z",53,28,91574,4095,1
"2022-04-07T04:21:31.938Z",54,28.5,91558,4095,1
"2022-04-07T04:31:33.801Z",53,28.5,91554,4095,1
"2022-04-07T04:41:34.310Z",53,28.9,91530,4095,1
"2022-04-07T05:01:34.747Z",53,28.9,91498,4095,1
"2022-04-07T05:11:34.974Z",52,29.799999,91477,4095,1
"2022-04-07T05:21:37.384Z",52,29.299999,91455,4095,1
"2022-04-07T05:31:37.457Z",51,29.799999,91465,4095,1
"2022-04-07T05:41:37.349Z",51,28.9,91469,4095,1
"2022-04-07T05:51:37.703Z",62,28.5,91458,4095,1
"2022-04-07T06:01:37.686Z",64,28.5,91434,4095,1
"2022-04-07T06:11:38.611Z",63,28.9,91424,4095,1
"2022-04-07T06:21:38.576Z",62,29.299999,91426,4095,1
"2022-04-07T06:31:41.344Z",62,29.799999,91411,4095,1
"2022-04-07T06:41:44.183Z",63,29.299999,91402,4095,1
"2022-04-07T06:51:44.179Z",65,28.9,91383,4095,1
"2022-04-07T07:11:44.133Z",67,28.5,91345,4095,1
"2022-04-07T07:21:44.115Z",67,28.5,91320,4095,1
"2022-04-07T07:31:45.884Z",66,28.5,91320,4095,1
"2022-04-07T07:41:45.867Z",64,28.9,91326,4095,1
"2022-04-07T07:51:45.852Z",63,29.299999,91312,4095,1
"2022-04-07T08:11:45.813Z",61,29.299999,91325,4095,1
"2022-04-07T08:21:45.808Z",62,29.299999,91360,4095,1
"2022-04-07T08:31:45.791Z",62,28.9,91340,4095,1
"2022-04-07T08:41:48.609Z",59,28.5,91351,4095,1
"2022-04-07T08:51:49.008Z",60,28.5,91359,4095,1
"2022-04-07T09:21:48.961Z",67,28,91390,4095,1
