timestamp,payload.humidity,payload.temperature,payload.pressure,payload.rainAnalog,payload.rainDigital
2022-04-04T06:22:07.325Z,55,30.799999,91401,4095,1
2022-04-04T06:33:08.235Z,55,30.799999,91396,4095,1
2022-04-04T06:43:08.711Z,61,29.4,91367,4095,1
2022-04-04T06:53:10.430Z,62,29.799999,91341,4095,1
2022-04-04T07:03:08.714Z,62,29.799999,91330,4095,1
2022-04-04T07:13:08.661Z,59,29.799999,91332,4095,1
2022-04-04T11:18:13.419Z,76,26.700001,91524,1518,0
2022-04-04T13:35:55.193Z,73,26.200001,91704,4095,1
2022-04-04T13:45:55.175Z,73,26.200001,91713,3115,1
2022-04-04T13:55:55.159Z,77,25.299999,91704,2671,1
2022-04-04T14:05:55.143Z,78,25.299999,91710,2644,1
2022-04-04T14:15:55.126Z,80,25.299999,91718,2384,1
2022-04-04T14:26:01.026Z,81,24.799999,91744,2597,1
2022-04-04T14:35:59.574Z,81,24.5,91740,2717,1
2022-04-04T14:45:55.068Z,81,24.5,91769,2608,1
2022-04-04T14:55:55.049Z,80,24.5,91776,3038,1
2022-04-04T15:05:55.033Z,79,24.799999,91772,3525,1
2022-04-04T15:15:55.017Z,78,24.799999,91761,3683,1
2022-04-04T15:25:55.001Z,78,24.799999,91763,4095,1
2022-04-04T15:35:54.982Z,78,24.799999,91751,4095,1
2022-04-04T15:45:54.965Z,78,24.799999,91754,4095,1
2022-04-04T15:55:54.947Z,77,24.799999,91748,4080,1
2022-04-04T16:05:54.929Z,77,24.799999,91742,4095,1
2022-04-04T16:15:54.908Z,77,24.5,91739,4095,1
2022-04-04T16:25:56.477Z,77,24.5,91739,4095,1
2022-04-04T16:35:54.872Z,77,24.5,91742,4095,1
2022-04-04T16:45:54.853Z,77,24.5,91735,4095,1
2022-04-04T16:55:54.835Z,77,24.1,91738,4095,1
2022-04-04T17:05:54.818Z,77,24.5,91722,4095,1
2022-04-04T17:15:54.800Z,77,24.5,91703,4095,1
2022-04-04T17:25:54.785Z,78,24.5,91690,4095,1
2022-04-04T17:35:54.770Z,78,24.5,91693,4095,1
2022-04-04T17:45:54.754Z,79,24.1,91672,4095,1
2022-04-04T17:55:54.735Z,79,24.200001,91651,4095,1
2022-04-04T18:05:54.714Z,80,24.1,91643,4095,1
2022-04-04T18:15:54.697Z,80,24.1,91633,4095,1
2022-04-04T18:25:54.677Z,80,24.1,91628,4095,1
2022-04-04T18:35:54.662Z,80,24.1,91625,4095,1
2022-04-04T18:45:54.645Z,80,24.1,91628,4095,1
2022-04-04T18:55:54.630Z,80,24.1,91615,4095,1
2022-04-04T19:05:54.611Z,80,24.1,91621,4095,1
2022-04-04T19:15:54.594Z,80,23.799999,91603,4095,1
2022-04-04T19:25:54.574Z,80,23.799999,91600,4095,1
2022-04-04T19:35:54.556Z,80,23.799999,91588,4095,1
2022-04-04T19:45:54.539Z,79,23.799999,91587,4095,1
2022-04-04T19:55:54.521Z,79,23.799999,91582,4095,1
2022-04-04T20:05:54.501Z,80,23.4,91591,4095,1
2022-04-04T20:15:54.483Z,79,23.799999,91593,4095,1
2022-04-04T20:25:54.462Z,79,23.799999,91606,4095,1
2022-04-04T20:35:54.447Z,80,23.4,91616,4095,1
2022-04-04T20:45:54.429Z,80,23.4,91621,4095,1
2022-04-04T20:55:54.410Z,80,23.4,91609,4095,1
2022-04-04T21:05:54.393Z,81,23.4,91614,4095,1
2022-04-04T21:15:54.379Z,81,23,91605,4095,1
2022-04-04T21:25:54.357Z,81,23.4,91599,4095,1
2022-04-04T21:35:54.337Z,79,23,91596,4095,1
2022-04-04T21:45:54.319Z,78,23,91604,4095,1
2022-04-04T21:55:54.301Z,77,23,91595,4095,1
2022-04-04T22:05:54.281Z,78,23,91609,4095,1
2022-04-04T22:15:54.261Z,79,23,91620,4095,1
2022-04-04T22:25:54.244Z,79,23,91618,4095,1
2022-04-04T22:35:54.227Z,79,23,91641,4095,1
2022-04-04T22:45:54.208Z,79,23,91648,4095,1
2022-04-04T22:55:54.188Z,80,23.299999,91647,4095,1
2022-04-04T23:05:54.176Z,80,23,91664,4095,1
2022-04-04T23:15:54.152Z,81,22.6,91656,4095,1
2022-04-04T23:25:54.136Z,81,23,91668,4095,1
2022-04-04T23:35:54.115Z,78,23,91684,4095,1
2022-04-04T23:45:54.103Z,77,23.4,91694,4095,1
2022-04-04T23:55:54.080Z,77,23.4,91702,4095,1
