timestamp,payload.humidity,payload.temperature,payload.pressure,payload.rainAnalog,payload.rainDigital
2022-04-08T00:09:37.963Z,73,23,91616,4095,1
2022-04-08T00:19:37.936Z,72,23.4,91626,4095,1
2022-04-08T00:29:41.413Z,72,23.799999,91620,4095,1
2022-04-08T00:39:41.398Z,73,24.5,91629,4095,1
2022-04-08T01:32:05.310Z,66,24.799999,91634,4095,1
2022-04-08T01:52:05.279Z,62,25.5,91632,4095,1
2022-04-08T02:02:05.264Z,61,26.200001,91645,4095,1
2022-04-08T02:12:05.244Z,61,26.700001,91634,4095,1
2022-04-08T02:45:13.387Z,58,27.1,91653,4095,1
2022-04-08T02:48:16.234Z,58,27.1,91638,4095,1
2022-04-08T03:08:16.194Z,58,27.1,91648,4095,1
2022-04-08T03:28:16.157Z,59,27.1,91613,4095,1
2022-04-08T03:38:16.139Z,59,27.6,91596,4095,1
2022-04-08T03:48:16.225Z,58,27.6,91588,4095,1
2022-04-08T03:58:16.289Z,55,28,91576,4095,1
2022-04-08T04:08:16.279Z,58,28.299999,91569,4095,1
2022-04-08T04:18:16.255Z,55,28.5,91537,4095,1
2022-04-08T04:28:16.226Z,54,28.5,91519,4095,1
2022-04-08T04:48:16.197Z,53,29.299999,91487,4095,1
2022-04-08T05:28:16.142Z,52,29.799999,91449,4095,1
2022-04-08T05:38:16.109Z,50,29.799999,91429,4095,1
2022-04-08T05:48:16.090Z,52,29.299999,91421,4095,1
2022-04-08T05:58:16.099Z,58,29.299999,91424,4095,1
2022-04-08T06:08:16.055Z,63,28.9,91407,4095,1
2022-04-08T06:18:16.046Z,64,28.5,91389,4095,1
2022-04-08T06:28:16.028Z,65,28,91353,4095,1
2022-04-08T06:38:16.058Z,65,28.9,91348,4095,1
2022-04-08T06:48:16.033Z,64,29.299999,91353,4095,1
2022-04-08T06:58:16.027Z,64,28.9,91361,4095,1
2022-04-08T07:08:16.003Z,64,28.5,91360,4095,1
2022-04-08T07:18:15.986Z,67,27.6,91351,4095,1
2022-04-08T07:28:15.966Z,69,27.6,91392,4095,1
2022-04-08T07:38:16.208Z,69,27.1,91400,3311,0
2022-04-08T07:58:16.172Z,75,23.799999,91432,2108,0
2022-04-08T08:08:16.174Z,79,23.4,91415,3396,0
2022-04-08T08:18:16.138Z,79,23,91390,3283,0
2022-04-08T08:28:28.135Z,79,23.799999,91374,3551,0
2022-04-08T08:38:28.141Z,78,24.1,91375,3350,0
2022-04-08T08:58:28.103Z,78,24.1,91349,4095,0
2022-04-08T09:08:28.088Z,77,24.5,91363,3174,0
2022-04-08T09:18:28.070Z,77,24.799999,91353,4095,1
2022-04-08T09:28:28.049Z,78,24.799999,91327,4095,1
2022-04-08T09:38:28.034Z,77,24.799999,91309,4095,1
2022-04-08T09:48:28.019Z,77,25.299999,91340,4095,1
2022-04-08T09:58:28.003Z,73,25.299999,91356,4095,1
2022-04-08T10:08:28.003Z,74,25.299999,91363,4095,1
2022-04-08T10:18:27.963Z,73,25.299999,91382,4095,1
2022-04-08T10:28:27.946Z,76,25.299999,91380,4095,1
2022-04-08T10:38:27.975Z,77,24.9,91384,4095,1
2022-04-08T10:48:27.957Z,77,24.799999,91402,4095,1
2022-04-08T10:58:27.937Z,77,24.799999,91396,4095,1
2022-04-08T11:08:27.960Z,77,24.5,91397,4095,1
2022-04-08T11:18:27.933Z,78,24.5,91402,4095,1
2022-04-08T11:38:27.904Z,79,24.5,91413,4095,1
2022-04-08T12:08:27.849Z,80,24.1,91430,4095,1
2022-04-08T12:18:27.832Z,80,24.1,91454,4095,1
2022-04-08T12:28:27.814Z,79,24.1,91454,4095,1
2022-04-08T12:38:27.802Z,78,23.799999,91471,4095,1
2022-04-08T12:48:27.789Z,78,23.799999,91476,4095,1
2022-04-08T12:58:27.767Z,78,23.4,91493,4095,1
2022-04-08T13:08:27.769Z,78,23.4,91497,4095,1
2022-04-08T13:18:27.757Z,78,23.4,91518,4095,1
2022-04-08T13:28:27.732Z,79,23.4,91531,4095,1
2022-04-08T13:38:27.686Z,80,23.4,91543,4095,1
2022-04-08T13:48:27.666Z,79,23.4,91536,4095,1
2022-04-08T13:58:27.645Z,78,23,91539,4095,1
2022-04-08T14:08:27.625Z,78,23,91547,4095,1
2022-04-08T14:18:27.612Z,78,23,91558,4095,1
2022-04-08T14:28:27.590Z,78,23,91572,4095,1
2022-04-08T14:38:27.573Z,78,23,91581,4095,1
2022-04-08T14:48:27.559Z,77,23,91584,4095,1
2022-04-08T14:58:27.538Z,77,23,91590,4095,1
2022-04-08T15:08:27.517Z,77,23,91589,4095,1
2022-04-08T15:18:27.510Z,77,23,91593,4095,1
2022-04-08T15:28:27.483Z,77,23,91593,4095,1
2022-04-08T15:38:27.462Z,76,23,91613,4095,1
2022-04-08T15:48:27.443Z,76,23,91603,4095,1
2022-04-08T15:58:27.425Z,77,23,91609,4095,1
2022-04-08T16:08:27.409Z,77,23,91615,4095,1
2022-04-08T16:18:27.388Z,77,23.4,91613,4095,1
